cust,day,orgType,price,quantity,secid,tradeId
0,83,Gov,119,9934070,First Order,16914dd3-a67e-4fa6-8fd7-fd2828a68f1a
0,84,tech,111,9621212,Umbrella Corp,7432f02c-55ef-4136-97a8-d16e135c6be4
0,85,Gov,109,7057949,Gotham,ec07d1d0-701a-49ea-b31a-c32bc469e41d
0,86,Gov,102,8623066,Gotham,30b3ad80-2e30-4aa9-82e3-9237471dd597
0,87,Gov,97,1639206,Coruscant,0d3e145b-e02c-4fcc-8926-9fe7b5cb668f
0,88,tech,117,5089601,Umbrella Corp,8419a86f-258a-4333-b99d-5325573a318f
0,89,Gov,113,9469139,Tatooine,6b15add3-5bc1-4483-87ec-c0b946dcc31a
0,90,Gov,94,9462446,Tatooine,def88af9-0d25-4e63-81bf-d068f1a62652
0,91,tech,95,6260367,Umbrella Corp,57ed308a-d345-493a-aa84-88b23dc89e6b
0,92,Gov,96,2071890,Tatooine,83e47942-a0f7-471a-9bcc-0dec1769236d
0,93,tech,119,7753999,Umbrella Corp,3ee9cf5e-63e2-4fa2-a0d0-8a5fab9a9db3
0,94,Gov,99,7801784,Tatooine,33dbaeea-b2d6-4aa3-a3d4-8f533be0c9b1
0,95,Gov,118,3905052,Tatooine,a7bc4d1b-8245-449c-9313-05ab700293be
0,96,Gov,116,3755017,Tatooine,75ae3c0f-3eed-4e3a-a8e7-0e8ba5460fd7
0,97,Gov,94,1275926,Tatooine,c725d9ae-4882-48e7-a918-6fd564248cea
0,98,Gov,92,3948997,Tatooine,1725f3cf-4c49-4c12-a4a4-d9f42ae2308b
0,99,Gov,92,3314062,Tatooine,d6ee3c47-973d-4097-b3ed-74a8093586b2
0,100,Gov,113,9133007,Tatooine,80818f9c-8c81-4851-82e2-121a418be120
0,101,Gov,115,7284592,Tatooine,f583d001-d9a8-4196-b4ca-de14421e1d2d
0,102,tech,116,3682305,Umbrella Corp,199629f8-d074-4a91-9fc0-b2df8a7270a8
0,103,tech,96,3975238,Umbrella Corp,c0c14fae-1323-4267-b361-18f3e4c9494b
0,104,Gov,94,8950950,Gotham,8d75783b-257c-4bb2-b028-4834f44e21cf
0,105,Gov,114,8116552,Gotham,44cc350e-df5d-4419-a81d-e2b54ed5d315
0,106,Gov,103,8011047,Gotham,61dc45f8-a4c0-49b6-a743-0245236f745d
0,107,Gov,98,5328874,Gotham,29f92530-bb61-42e5-a771-ee11c199a681
0,108,Gov,100,3585560,Gotham,c7b16e2a-85ed-49a6-b22e-9436c7ca21a5
0,109,Gov,105,3010764,Tatooine,a5a9b894-fa4f-4da4-a483-23a26f937cbc
0,110,Gov,100,6708311,Tatooine,056018ec-09c2-45d6-96b4-f5006510eb39
0,111,Gov,119,6583780,Tatooine,4e0290da-e855-4f54-8f60-d3630e2b5d99
0,112,Gov,100,3840156,First Order,c52628f1-2366-4868-b07c-2eab1b12c98b
0,113,tech,97,3154070,Umbrella Corp,442805a1-ca1e-4c7f-aa57-f481a7a9b902
0,114,Gov,117,5045342,First Order,a90fcbe9-d8e7-4691-9348-253c95adf73f
0,115,tech,103,4632758,Umbrella Corp,ba3ff629-17df-460a-b26c-81f7fffd6b35
0,116,energy,94,7570994,Roxxon,76b40029-45d8-4078-b3f0-e563db8a825d
0,117,Gov,100,1307391,Gotham,5edaccff-e085-4b19-afcf-094084009562
0,118,Gov,119,7999873,Gotham,e92e1ed2-b7c9-4239-b10d-eaf91f000390
0,119,Gov,102,4187810,Naboo,a48dd729-5a90-470c-b2c4-573a8560039b
0,120,energy,93,1260040,Roxxon,1e615346-39ca-4cff-b36f-163c1ee11be9
0,121,Gov,90,6717602,Naboo,91b85d3a-d500-462f-bd81-58fd976f3a55
0,122,Gov,94,8497591,Naboo,c08e0e1d-c4ad-4623-afed-cd1d35ce00a3
0,123,Gov,95,9975698,Naboo,b39b8603-3402-4888-bf35-cc9186957b4d
0,124,energy,115,5290096,Roxxon,a87af3d0-74c1-40f7-be8b-1f2cafa9ee66
0,125,Gov,106,1124167,Naboo,350c9014-904d-41c2-8ec4-ed2e6445565c
0,126,Gov,95,3078137,Naboo,ae191817-7db5-49ad-8785-f4679e75dd83
0,127,Gov,107,2073425,Naboo,28bacc39-34ac-4e0d-865b-fc33e93656be
0,128,Gov,91,4794593,New Republic,2fe60b0e-539b-43b2-ba74-83e1831227cf
0,129,Gov,103,8534842,Coruscant,50b64732-9259-4931-bdda-9fedf618526e
0,130,Gov,108,9098261,Coruscant,98a4d79d-ac74-4ec4-bba4-676e3945b081
0,131,Gov,101,7279225,Coruscant,dde3b131-9820-445e-b1d3-19500e421423
0,132,Gov,111,1409442,Tatooine,9887488e-a99d-4e3c-aec1-d0baa0c7ea25
0,133,Gov,103,6576988,Gotham,3616aa5d-c2bb-4ae8-8ccf-20c29b253965
0,134,Gov,104,2130014,First Order,fcf546ac-7246-4d7a-a553-5af23bdcc073
0,135,energy,98,7122824,Roxxon,4c1682e6-1f63-4c1b-a969-3c9b8bfd34b9
0,136,energy,116,7051152,Roxxon,7a207a7f-905f-405f-8e3a-618781b9ed55
0,137,Gov,110,5883272,First Order,d2864540-48bc-4c56-b1c1-38d175cc7a01
0,138,Gov,94,1394136,First Order,72717abd-faa0-45e3-869f-c51de90635b8
0,139,Gov,90,5090064,First Order,75a7daef-2b7c-4ff1-a85e-bfc5bebe251e
0,140,Gov,98,7205376,New Republic,8dcdaf13-9735-490b-bc4e-06a74922882a
0,141,Gov,116,6392427,New Republic,a4b713ac-f0e3-42be-baa5-1dddcd050b65
0,142,Gov,116,9807968,New Republic,f568cad2-13b7-4401-ab36-e464d988e8d2
0,143,Gov,110,7127824,New Republic,abd806b6-32ef-4e2b-ac90-774f60b4902e
0,144,energy,115,6412811,Roxxon,f387dee8-45e2-4774-b68a-827c466894f9
0,145,Gov,102,6573643,Naboo,49f054a5-5a55-4e47-adc1-1e1a85ca8c50
0,146,Gov,117,2073527,Gotham,7f07912d-ece2-430f-b88e-dfaa4e3f560f
0,147,Gov,114,3005278,Gotham,8bc1189d-afbb-4da3-be06-8b72547bae9b
0,148,Gov,109,6986202,Gotham,599be303-f82d-4d9a-9f3a-102888f68be7
0,149,Gov,109,6318828,Gotham,a54d2638-05e2-405f-b183-6031f1773ac8
0,150,Gov,115,5385014,Gotham,df076af9-921a-4998-a6e6-3139afb5ea52
0,151,Gov,115,4561454,Naboo,00303b74-d64d-45a0-9b76-6d8f513c3f5d
0,152,Gov,96,2147754,Naboo,1a380c29-9739-4bd9-acf1-bae4b85eb5b5
0,153,tech,102,1949517,Stark Industries,cf811664-95d7-4dc7-9ff1-de436363ea4a
0,154,Gov,97,4873090,Naboo,ba2744d0-7c2a-46f2-9f5a-1043d7aea68c
0,155,Gov,105,2369338,Naboo,da8226bb-0e63-4769-a906-94c94cd0a0fa
0,156,Gov,112,4272043,Naboo,2d31459b-76c2-4c20-9069-566bffa04f2b
0,157,tech,107,4194801,Stark Industries,91c2c32a-586b-4fa5-97e0-bff072217c49
0,158,Gov,112,3949719,Naboo,2de0e468-ffa8-46ba-90ee-46e66e6936b3
0,159,Gov,93,9494759,Naboo,e5b2ce5a-ff64-4c01-8adb-51922df4bb51
0,160,Gov,105,7500228,Naboo,2ce213e7-aeaf-4cbe-a01f-6eefba52f901
0,161,Gov,92,2161195,New Republic,66953a34-5ee9-457b-8752-00bc0e95400a
0,162,tech,107,4912298,Stark Industries,ca4e74ec-b1d1-4f0b-9647-757d24dfa038
0,163,Gov,99,5977732,Tatooine,bcb3b2b0-ab96-40eb-89a0-46a907e423b4
0,164,Gov,91,6147254,Tatooine,78176566-5eba-42fd-a7d9-810b860d8beb
0,165,Gov,104,1366785,New Republic,6a1b1b3a-0212-498a-8797-88154b429b26
0,166,tech,113,8727142,Stark Industries,c04ac50a-55ac-4e4f-a624-8296a9820a2e
0,167,tech,92,1032743,Stark Industries,a05acc1a-05a2-4adf-a3f0-599551977be0
0,168,Gov,101,3871409,New Republic,041b4877-8066-44fb-89d5-912be1f00580
0,169,Gov,107,2259621,Gotham,a2c78741-6fb9-4826-88e3-ac07152d2654
0,170,Gov,116,7994159,Gotham,7c79e9fb-3861-4ad6-8107-e120444e1c94
0,171,Gov,106,4978957,Gotham,6e3c05fe-f60e-4be6-a484-9baefc781918
0,172,Gov,104,5267246,First Order,511b6ae4-8264-48f8-9b90-b97e81404c9f
0,173,Gov,93,6726660,Naboo,d0c24119-4b5e-4730-8291-7ee3e8ff317b
0,174,tech,91,9501893,Stark Industries,7cbf3b98-9cd7-4314-9cbb-7e3695c18f4e
0,175,tech,99,3201327,Stark Industries,07c19861-ba4f-4a5a-be69-4b990c9d71b8
0,176,Gov,94,3737110,Naboo,da908a9e-beb4-49e4-a10d-a9c2096303f6
0,177,Gov,108,5594530,Naboo,7b4dbd35-383c-4418-a43e-9dbc4bbab665
0,178,Gov,91,5893285,Naboo,314b9eb6-1978-4785-8bbb-5ed63909c068
0,179,Gov,118,3401935,Naboo,07d80eae-f8a2-4f07-955b-a64d8ab94c1c
0,180,Gov,97,6572171,New Republic,59d8fb3b-f73b-47f9-8589-c2cbc312b918
0,181,Gov,113,1812954,New Republic,d2802c62-734f-4e14-ac2d-bfed38a247f1
0,182,Gov,107,3905210,New Republic,b2714f30-8b71-41be-9d6b-7c204f616068
0,183,Gov,98,7151561,New Republic,b6c75b36-f26d-46df-ab9c-b640f75c5aab
0,184,Gov,113,8255889,New Republic,a6608684-5984-4a66-8766-4fd44922ea88
0,185,Gov,109,9217322,New Republic,c8ef9cd5-fc6b-4bfe-9505-c53865a6c4b0
0,186,tech,91,5182044,Stark Industries,b2042fb4-6fdf-4501-b1e0-7516caabb6a3
0,187,tech,115,1846941,Stark Industries,5ff75257-e3d7-4aaa-8410-3bfbbe416dd2
0,188,Gov,116,6447073,New Republic,d05b5a34-2bc6-4ed3-88f4-83451798d2fb
0,189,tech,115,2963856,Stark Industries,00def290-2aa2-4fbe-9f3f-c0acccc4fb73
0,190,tech,92,3929980,Stark Industries,f7003a3b-dafe-43d4-9fb5-db6a9602253b
0,191,Gov,107,8549321,New Republic,e193c793-26d4-4ad7-bc53-a47a7d7f3496
0,192,tech,104,5252015,Stark Industries,e562a131-bf09-4564-825b-39afa17fbf11
0,193,Gov,99,8611652,First Order,4d18abf5-8ecc-4d55-87ab-5045b1f1cf0b
0,194,Gov,93,1555950,First Order,71f6e69f-ea05-4504-b10b-e058664a4d79
0,195,Gov,99,9730086,First Order,3e4b45ac-fc1e-4bef-a2ee-3e1135fa6dbe
0,196,Gov,112,2584178,First Order,43514b84-a9e3-4ac1-b670-daa3780a15be
0,197,Gov,114,4580479,Naboo,0973af31-82b8-4a24-a535-959a72b0806f
0,198,Gov,90,6326903,First Order,0209e6c3-0737-440e-a8a3-efeaa96a9d6e
0,199,Gov,119,1162395,New Republic,ebf71d37-333c-41f3-aced-fadd4d335f2f
0,200,Gov,104,2382876,New Republic,6432d391-f737-42a7-a9ed-b0570cbe2e58
0,201,Gov,102,9432292,New Republic,e3470a3d-7537-4f3d-b633-fd894ab98cef
0,202,Gov,116,7644590,New Republic,429b472c-e539-4761-9c1a-3f87c9164531
0,203,Gov,93,9682975,New Republic,006e6632-6d1f-44b1-b686-693dabe91fe7
0,204,Gov,90,9320748,Tatooine,3ac39cea-d854-4f14-a624-fbced70fce60
0,205,Gov,109,1451867,Tatooine,8cd4cb18-0833-4836-9c7c-4903de6d4c90
0,206,Gov,105,7084309,Gotham,1da5c201-89ec-4721-8a28-1074cd89d5e1
0,207,Gov,117,4083381,Gotham,98756ae3-b277-4f5b-9a78-b3ffe63ef083
0,208,Gov,97,3656847,Gotham,5f84b580-9572-4e78-969d-534f427f4b16
0,209,Gov,92,8609932,Naboo,ed5d7384-ff24-414d-9bbb-f4d487060f88
0,210,Gov,111,9047906,First Order,253b7da8-c6de-4678-8190-c1691a225add
0,211,tech,116,8268750,Stark Industries,033431b6-033a-4cc0-afe6-f5ab70a4340a
0,212,Gov,110,1999835,First Order,200f270a-9e0a-480d-88ff-b2be90ea48a9
0,213,Gov,118,5965195,First Order,2ef9e664-c433-4863-b7e2-482589516b9a
0,214,Gov,118,2171582,First Order,29509576-6238-4700-aaa3-828d65f48bae
0,215,Gov,104,8055971,First Order,6904627a-4905-41ba-a8b6-85efbc185c1b
0,216,Gov,103,9315622,First Order,fda3fbda-e4a4-4a1d-93d9-fc6ebf34ed72
0,217,tech,93,4205477,Stark Industries,e1341be1-6810-436f-913d-eee30a76558e
0,218,Gov,107,7766686,Coruscant,b6a13f64-eeca-4db5-bc28-1324eb8e8536
0,219,Gov,102,8921666,Tatooine,0024605a-266c-441a-a468-ca27b4fabb1d
0,220,Gov,119,8854434,Tatooine,2b31e5d5-20d3-43e5-99ff-e0f2fc473ea0
0,221,Gov,104,8652923,Tatooine,89e9cd17-9b11-4a82-ade7-78723b9cce19
0,222,Gov,107,3124294,Tatooine,6f3d7dac-7898-4243-ab42-d66d83de97dc
0,223,Gov,94,3130100,First Order,44d08728-44f0-4034-94bd-26e8caa9986e
0,224,Gov,106,9961130,First Order,e6bef530-990a-41d2-a54b-5231e5154ff1
0,225,Gov,104,1405069,First Order,85d0b0ff-1842-4731-9ac1-7431c85da1fc
0,226,tech,115,8921065,Stark Industries,fd9337fa-b584-484c-8f18-0f3dc8481066
0,227,Gov,109,9652514,First Order,73c98dd5-0ea4-4980-8c6a-52e13345f238
0,228,Gov,107,3823688,New Republic,8fb52fb9-8db4-4294-9407-4b4df782bdad
0,229,Gov,103,2367067,Naboo,83a7d870-298b-4265-9468-76ff47bbbbc7
0,230,tech,101,2662206,Stark Industries,f70d41bf-9afa-4cfd-adc9-f04f3503f957
0,231,Gov,109,6588374,Naboo,0bda505a-1d4c-4437-a4e8-7e6778ad2814
0,232,Gov,109,4287774,Naboo,f9a72aa3-6e56-4470-8ccb-f5fef62fb2e2
0,233,Gov,96,1269199,Naboo,59cefcd1-a9f4-446f-aca7-f49d005f67ab
0,234,Gov,108,6828964,Naboo,1b5e33cf-e7b7-49e2-b462-3fd13035b953
0,235,Gov,106,2171547,Naboo,76b69c77-6a90-4ba1-aeaf-35cfa2335040
0,236,tech,101,2182755,Stark Industries,9a479a5d-4f04-434e-8d28-178aaceb2bee
0,237,Gov,104,6035753,Naboo,7ed3b9cb-8d08-4eac-93f4-f5c695a8bbe0
0,238,Gov,101,9791243,Naboo,150aa4af-ab33-4a70-aead-d67a9136a7d3
0,239,tech,97,1265826,Stark Industries,9a960df8-ef34-4ce5-a991-38f1a4ea0007
0,240,tech,101,8713441,Stark Industries,de144c2a-2c2c-4c79-aaf6-761df64f917a
0,241,Gov,107,3649951,Coruscant,86c7e954-b3fd-4c8d-bf8a-73cfc853f7c6
0,242,Gov,119,4584359,Coruscant,98353db4-5e57-4ca7-9367-ba9b6851240d
0,243,Gov,96,2633464,Coruscant,161e547b-c2c4-475e-a4db-9b79f48adf42
0,244,Gov,98,2083404,Coruscant,c77eafbf-a007-497b-b0ac-7f449b11f0f5
0,245,Gov,98,8152254,Coruscant,deadb95b-6345-4ba7-9ae2-c2f213ee24ff
0,246,Gov,109,3703011,Coruscant,8187fc93-7166-4f4e-aa72-7dd5cb40af3c
0,247,tech,107,7765695,Stark Industries,e331c2cf-b0c3-4c65-bfcf-f179a9ee1675
0,248,Gov,93,2085955,Coruscant,0afcef11-0896-4c2f-ba3f-4b0e363f93c2
0,249,Gov,115,6700280,New Republic,95e71b94-0a22-4a3d-adb3-1fac9e7fbffd
0,250,Gov,107,6369266,New Republic,77a20fe6-ba2e-4f98-acb6-85e3149d9c0c
0,251,Gov,94,6022279,New Republic,66ac5ade-6935-4328-b483-b69fdbdf2b37
0,252,Gov,94,1470368,New Republic,89cfb27f-769b-452e-908c-868a73fdc80c
0,253,Gov,107,9321123,New Republic,013d7e60-6e0c-4c33-ab7f-fe274828de8a
0,254,tech,111,9775250,Stark Industries,c7261b6c-36f8-4440-95c7-4d2c17042e42
0,255,Gov,109,5906742,Tatooine,fe09228a-15b0-4c8d-bcfb-bcd6b56f6588
0,256,Gov,101,7204018,Tatooine,5e54f517-47bf-4492-ba27-51ef091c0d9e
0,257,Gov,104,2435244,Gotham,e500d31e-5534-46bc-8c56-16e68f96e3af
0,258,Gov,119,1642539,Gotham,f0749043-e84b-4e6a-9fce-00598b922ac0
0,259,Gov,106,8314612,New Republic,ffd008a7-021c-4869-a249-db58d7558355
0,260,Gov,107,4407705,Naboo,1cbb5997-0811-4d99-b8ad-35de8d6481e0
0,261,Gov,92,6655333,Naboo,9903af2f-5929-40de-9150-caa214cd3fee
0,262,Gov,113,9765672,Naboo,64a9f60b-d5c8-4448-9711-063ea52362dc
0,263,Gov,109,6206537,Naboo,c223418d-eecb-412e-8527-4b6607655f91
0,264,energy,117,4725373,Roxxon,d0a2de54-5d9d-432b-84e1-ee00f477168d
0,265,Gov,118,3621836,Naboo,863b63fd-dd99-4ee2-a838-f8a341dc0ec3
0,266,Gov,103,1550433,Naboo,ce35a168-21fa-4ece-abe7-c54c8a2a5cd5
0,267,energy,101,1953505,Roxxon,f94f4d5f-7b97-458b-a6ae-8cab0e172228
0,268,Gov,100,8038915,Naboo,677495a0-3e78-464c-97a6-62113d55c92c
0,269,Gov,115,9162407,Naboo,9134d1c8-ab4f-431a-867e-bd17bcfbac4f
0,270,energy,114,9912290,Monster Corp,ac60a0c3-00ac-45b6-b9bb-ea4bfb64d8de
0,271,Gov,119,4753443,Naboo,0d729b49-16cc-4231-82ed-2d56c7a5c670
0,272,Gov,117,1203861,Naboo,8a6e0769-95cf-47c6-85ff-ae2156251f84
0,273,energy,96,6594107,Monster Corp,4028b760-833b-4ad9-97c4-205e439be643
0,274,Gov,92,3105911,Naboo,c2d2350a-225d-493f-976e-68dd20a9dd48
0,275,Gov,103,3096543,Naboo,01945f04-acf3-4692-9cab-efd4062d9595
0,276,Gov,116,5705914,Naboo,1eda3aa3-0517-4aa2-bb2b-b3102d560c28
0,277,Gov,99,6160356,Gotham,a6312254-4e21-41d7-be8e-f36e60a8e280
0,278,Gov,91,2078863,Gotham,922d8efa-3384-4ef1-ac89-1a7ed9bc6ae2
0,279,energy,114,4310929,Monster Corp,eacaab99-3366-4ab1-b034-e5e40977dffa
0,280,Gov,107,3649336,Naboo,40d01b74-13e1-40c9-8d22-d32cc24b53a4
0,281,energy,113,7433007,Monster Corp,db90dee2-8551-49db-be1f-be6d9350e928
0,282,Gov,94,4473529,First Order,4e058476-3db9-4111-84e5-09f23ad81c07
0,283,Gov,110,3776705,First Order,ee352814-b902-4082-9115-07b784587b03
0,284,energy,111,8627459,Monster Corp,1a45773b-0678-4752-a78f-9eb4cfd6b0d4
0,285,energy,114,2201472,Monster Corp,427a52b8-eed5-41da-878f-818f01c0534e
0,286,Gov,108,2710480,First Order,9f582935-34e8-4549-8001-dd1700adb3de
0,287,Gov,115,6578964,Gotham,71e9049d-87c0-4ab2-b94d-a78b31c4cd45
0,288,Gov,98,2485543,Gotham,0de44921-0bfe-4888-8524-03d368875c1f
0,289,Gov,103,5868237,First Order,56bb529a-f3f9-4247-8e29-44a0fe723cbf
0,290,Gov,97,2776727,New Republic,001c31e3-8f2e-4ebd-859a-450d488dd99f
0,291,Gov,100,3521716,New Republic,91f9b616-daa9-4cf3-b2a1-7559371ff809
0,292,Gov,104,9414891,New Republic,5fa62ad2-fc1c-4362-9740-a29614651ba2
0,293,energy,114,4507651,Monster Corp,abb23350-366d-4e0a-a384-77080c03f32d
0,294,Gov,91,5356588,New Republic,965bca79-9b9f-4b28-89e5-ed6a356a1137
0,295,energy,106,1356843,Monster Corp,16865ce7-6645-43ff-97dd-b53640844fce
0,296,energy,115,8137560,Roxxon,ec94177a-637c-44cf-89b0-b4c1fea5a1f7
0,297,Gov,117,7349752,Tatooine,9e36f990-82b4-4385-8901-726877c0279b
0,298,Gov,116,2787141,Naboo,b3f6ffde-0c19-4978-b667-a32744f79e16
0,299,Gov,92,6672810,Tatooine,80e2e985-4e80-485b-8f75-36af458c4b5d
0,300,Gov,111,8539463,Tatooine,0341dbea-db08-4a8d-a0cc-89a6e7649632
